Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
184,Chattanooga,SC,18-17,-1.04,108.3,109.3,68.6,-0.065,-2.55,105.1,107.7,1.12
185,Navy,Pat,18-13,-1.04,103.9,104.9,64.6,-0.038,-7,101.7,108.7,-1.65
186,Western Kentucky,CUSA,17-16,-1.04,104.8,105.8,67.7,0.052,1.3,105.9,104.6,-3.59
187,New Mexico St.,WAC,15-Sep,-1.08,105.8,106.9,69.4,-0.088,4.09,106.3,102.2,4.39
188,Texas St.,SB,16-19,-1.2,104.9,106.1,63.7,0.001,0.58,104.9,104.3,-0.58
189,North Carolina Central,MEAC,18-12,-1.23,100.9,102.2,68,-0.058,-5.9,101.3,107.2,5.04
190,Florida Gulf Coast,ASun,17-15,-1.24,105.1,106.3,66.5,0.006,-2.81,104.5,107.3,1.22
191,Weber St.,BSky,18-15,-1.32,100.6,101.9,65.3,0.064,0.25,106.5,106.2,5.54
192,Norfolk St.,MEAC,22-10,-1.34,107.9,109.3,65.6,0.086,-7.87,100.3,108.2,-1.48
193,Abilene Christian,WAC,13-17,-1.44,106,107.5,69.3,-0.05,2.47,105.7,103.2,0.28
194,Wright St.,Horz,18-15,-1.46,104.5,106,71.4,-0.081,-5.71,103.3,109,-1.59
195,Saint Joseph's,A10,16-17,-1.49,104.6,106.1,69.4,-0.007,-1.78,104.5,106.3,-5.72
196,Quinnipiac,MAAC,20-12,-1.53,104.3,105.8,69.8,0.007,-5.56,101.2,106.8,-3.55
197,UTEP,CUSA,14-18,-1.58,99.2,100.7,67.1,-0.008,1.36,106.2,104.8,-2.2
198,St. Thomas,Sum,19-14,-1.78,108,109.7,66.2,-0.001,-4.33,103.4,107.8,-1.9
199,Detroit Mercy,Horz,14-19,-1.83,111.7,113.6,67.4,-0.103,-3.17,104.2,107.4,4.59
200,St. Bonaventure,A10,14-18,-2,101.4,103.4,65.8,-0.032,-0.94,104.6,105.5,-3.57
201,Drexel,CAA,17-15,-2.02,101.3,103.3,63.8,-0.074,-6.44,101.3,107.7,-1.55
202,Buffalo,MAC,15-17,-2.56,104.4,106.9,72.3,0.004,1.11,107,105.9,6.18
203,Gardner Webb,BSth,15-16,-2.57,99.1,101.7,66.3,-0.091,-3.98,103.8,107.8,1.68
204,Rider,MAAC,16-14,-2.6,106.4,109,65.2,-0.039,-5.6,101.3,106.9,-2.55
205,Georgia Southern,SB,17-16,-2.6,100.5,103.1,66.8,0.005,-1.55,105.1,106.7,-3.79
206,Queens,ASun,18-15,-2.62,107.3,109.9,70.2,0.003,-2.67,104.4,107.1,-3.52
207,Siena,MAAC,17-15,-2.68,102.4,105.1,67,-0.03,-5.36,101.6,107,-3.71
208,Florida St.,ACC,23-Sep,-2.81,105.3,108.1,68.9,-0.022,6.04,109.2,103.1,3.19
209,Bryant,AE,17-13,-2.82,105,107.9,72.1,0.004,-4.39,103.4,107.8,1.83
210,Oregon St.,P12,21-Nov,-2.91,100.4,103.3,63.8,0.015,7.23,107.8,100.5,-6.52
211,Northern Arizona,BSky,23-Dec,-2.92,108,111,67,-0.084,1.17,106.8,105.6,8.41
212,Massachusetts,A10,15-16,-2.98,101.1,104,70.7,0.036,-0.29,104.5,104.8,-1.06
213,North Dakota St.,Sum,16-17,-3.04,104.7,107.8,68.2,0.007,-1.35,106.4,107.8,7.31
214,Northwestern St.,Slnd,22-11,-3.08,106.2,109.2,66.8,0.085,-7.6,102.5,110.1,2.67
215,Rice,CUSA,18-15,-3.23,107.5,110.8,70,0.096,0.92,105.7,104.8,-6.03
216,Minnesota,B10,22-Sep,-3.3,102.7,106,66,0.03,8.87,108.8,100,-7.43
217,George Washington,A10,16-16,-3.32,109.3,112.7,69.2,0.025,-1.72,103.4,105.1,-5.56
218,Howard,MEAC,21-12,-3.36,104,107.4,69.2,0.084,-6.25,101.2,107.5,0.23
219,Northern Iowa,MVC,14-18,-3.4,103.3,106.7,67.9,-0.018,-1.19,104.3,105.5,-1.66
220,South Carolina,SEC,21-Nov,-3.42,103.8,107.2,64.5,0.042,6.67,108.6,101.9,-3.03
221,Northern Colorado,BSky,20-Dec,-3.49,107.8,111.3,69.7,-0.01,-0.07,106.2,106.3,5.87
222,FIU,CUSA,14-18,-3.56,103,106.5,70.2,-0.003,0,105.8,105.8,-8.1
223,San Diego,WCC,20-Nov,-3.81,110.7,114.5,68.9,-0.03,2.95,107.7,104.7,-2.45
224,La Salle,A10,15-19,-4.31,103.6,107.9,67.9,0.04,-1.03,104.1,105.1,-2.36
225,Georgetown,BE,25-Jul,-4.36,104,108.4,69,-0.056,8.31,110,101.7,-5.22
226,Sacramento St.,BSky,14-18,-4.41,104,108.5,62.6,0.012,-0.3,105.6,105.9,3.9
227,Murray St.,MVC,17-15,-4.42,105.9,110.3,66.9,0.095,-0.88,104.1,105,-1.21
228,Milwaukee,Horz,21-11,-4.63,103.2,107.8,72.1,0.131,-4.82,103.5,108.3,0.8
229,Campbell,BSth,16-18,-4.77,105.1,109.9,64.4,-0.049,-4.62,102.6,107.3,-1.22
230,Mercer,SC,14-19,-4.88,99.8,104.7,64.7,-0.085,-3.28,104.7,108,-2.09
231,North Florida,ASun,14-17,-4.93,110,114.9,68.1,0.012,-1.31,105.8,107.1,5.97
232,Wofford,SC,17-16,-4.95,109,113.9,65.3,0.023,-2.76,104.2,107,-1.06
233,Jacksonville St.,ASun,13-18,-5.23,102.3,107.6,65.8,-0.044,-1.33,105.5,106.8,1.95
234,Western Carolina,SC,18-15,-5.38,103.2,108.5,67.5,0.051,-3.59,104.2,107.8,-3.78
235,Jacksonville,ASun,13-16,-5.45,100.4,105.8,61.3,-0.009,-0.5,106.5,107,6.59
236,Robert Morris,Horz,16-17,-5.48,99.3,104.8,66.5,-0.041,-5.55,103,108.6,-1.7
