RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ_T,WAB
16,Memphis,Amer,34,26-8,115.6,95.3,0.9018,53.2,46.8,18.4,20.9,31,32.3,35.9,34.9,53.1,47.2,35.6,30.8,71.5,5.1
17,Texas A&M,SEC,34,25-9,115.1,95.1,0.8999,49,47.9,18.3,21.1,36.7,30.4,45.9,35.1,49,47.4,32.8,32.3,66.2,4.1
18,Arkansas,SEC,33,20-13,112.4,93.3,0.895,52,46.5,18.3,20.4,30.5,28.2,38.8,38.9,53.8,46.9,31.7,30.6,69.6,0.9
19,West Virginia,B12,33,19-14,117.4,97.6,0.8938,51.7,50.7,18.5,20.9,33.7,29.3,39.7,38.5,51.3,50.5,34.8,34.1,68.7,1.8
20,Iowa St.,B12,32,19-13,109.8,91.6,0.8891,50.7,50.1,19.8,25.1,33.9,26.6,27.8,40,50.7,49.6,33.9,33.8,64.2,2.7
21,Duke,ACC,34,26-8,112.8,94.3,0.8872,51.1,46.3,18.2,16.6,36.2,25.9,30.8,24.1,51.4,46.7,33.6,30.4,65.2,4.3
22,Xavier,BE,34,25-9,119.2,99.7,0.8862,55.6,50.4,17.5,16.5,31.8,25.4,30.8,27.1,54,48.7,39.5,35.9,70.4,5.1
23,Auburn,SEC,32,20-12,113.1,94.8,0.8838,49.6,45.6,18.1,19.3,33.3,32,35.5,39.1,51,46.9,31.4,28.8,67.7,1.5
24,Kansas St.,B12,32,23-9,111.6,93.7,0.8814,51.5,47.5,20,20.7,31.1,29.2,37,36.7,51.8,48.8,34,30.1,70,4.7
25,Utah St.,MWC,33,26-8,117.2,98.5,0.8808,55.6,47.8,17.4,15.8,27.4,24.8,35.5,30.2,54.1,45.9,38.5,34.3,68.8,3.9
26,TCU,B12,33,21-12,112.2,94.6,0.8767,50.2,47.8,17.1,21.9,32.4,30.7,33.9,29.7,51.9,49.1,30.6,30.4,69.8,2.6
27,Kentucky,SEC,32,21-11,116.8,99.2,0.867,51.2,48.8,17.3,16.8,38.7,25.5,32.5,29.9,50.4,48.3,35.4,33.1,66,2
28,Maryland,B10,33,21-12,113.2,96.5,0.8628,51.1,47.9,16.2,18.4,30.2,27.2,33.8,27.8,52,47.7,33,32.1,64.7,0.8
29,Michigan St.,B10,31,19-12,113,96.5,0.8602,51.6,48.1,16.4,14.7,27.4,25.2,25.8,28.6,47.7,48.6,39.5,31.5,64.9,2.4
30,Florida Atlantic,CUSA,32,31-3,112.8,96.4,0.8583,55,45.9,16.7,18.3,30.4,24.5,29.5,26.7,54.3,44.8,37.2,32,68.2,4.3
31,Boise St.,MWC,32,24-9,110.3,94.4,0.8573,51.9,47.3,16.7,17.7,26.4,23.8,30.7,27.4,50.7,47.8,36,31,66.5,2.9
32,Virginia,ACC,32,25-7,110.5,94.6,0.8564,51.3,48.3,13.7,19.7,25.5,25,34.5,26.1,50.4,46.5,35.3,34,61.4,4
33,Indiana,B10,33,22-11,113.6,97.4,0.8543,53.8,47.3,16.9,16.3,28,27.9,30.1,30.6,53.2,45.7,37,33.2,68.1,3.3
34,Oklahoma St.,B12,33,18-15,107.8,92.6,0.8508,49.3,45.9,20.7,19.1,31.9,28.3,32.9,31.5,51,44.7,31.1,31.8,67.6,0.5
35,Northwestern,B10,32,21-11,108.6,93.5,0.8482,47.2,48.4,14.8,21.7,28.3,27.3,29.7,31.6,46.5,46.6,32.1,33.9,65,1.5
36,Rutgers,B10,33,19-14,104.9,90.7,0.8423,47.6,45.9,17.2,21.7,32,27.6,28.5,28.2,47.6,46.1,31.8,30.5,66,-1.2
37,Iowa,B10,32,19-13,120.6,104.7,0.8366,51.9,53.3,14.1,18.5,32.2,27.6,32.6,23.4,52.1,52.6,34.3,36.6,69.6,0.2
38,Miami FL,ACC,32,25-7,118.4,102.7,0.8365,55,51.3,16.4,18.1,32,29,30,24.1,54.9,51.8,36.8,33.6,68.8,3.5
39,Cincinnati,Amer,32,21-12,112.4,97.8,0.8323,51.7,47.7,15.1,17.1,30.2,27.5,25.8,29.3,50.7,47.8,35.5,31.5,68.5,-1.4
40,North Carolina,ACC,33,20-13,111.2,96.8,0.832,49.2,48.7,15.2,14.9,30.4,23.3,37,26.3,50.8,48.4,31.1,33,68.9,-0.8
41,USC,P12,32,22-10,112.6,98,0.8311,51.3,45.2,18.1,18.1,29,33,33.8,29.8,51.1,42.4,34.5,33.4,68.2,2.1
42,Penn St.,B10,35,22-13,116.9,101.9,0.8298,55.5,49.2,13.7,13.1,18.8,25.1,21.4,25.9,53.5,48.8,38.5,33.3,64.6,1.4
43,Oregon,P12,33,19-14,114.4,99.8,0.8281,51.1,48.4,18.2,16.5,32.8,25.9,31.2,24.7,53.3,46,31.9,35,66.1,-0.2
44,Liberty,ASun,31,26-8,111.7,97.6,0.8257,55.8,49.5,16,19.4,25.8,20.1,25.8,27.8,56.7,47.6,36.5,35.1,64.2,-1.8
45,Illinois,B10,32,20-12,110.1,96.2,0.8243,51.6,46.9,18.2,18.6,32.3,26.8,33.8,29.6,55.3,45.3,30.9,33.6,69.7,0.7
46,Drake,MVC,33,27-7,110.7,96.7,0.8243,53.1,47.3,15.5,17.7,24.3,22.4,28.8,26.7,51.9,47.5,36.7,31.2,66.4,-0.2
47,Michigan,B10,32,17-15,112,98,0.8232,51.2,47.8,14.8,14.8,25.4,26.1,30.8,26.2,50.8,47.8,34.6,31.9,67.6,-2
48,North Texas,CUSA,31,26-7,108.9,95.5,0.8191,51.1,45.3,19.9,20.2,33.8,27.5,32.2,41.2,49.3,45.1,35.7,30.6,58.5,0.8
49,North Carolina St.,ACC,33,23-10,114.1,100.1,0.8187,51.8,49.8,13.6,19.1,30.7,26.6,25.3,34,51.5,50.6,34.9,32.2,69.4,0.9
50,Oklahoma,B12,32,15-17,110.1,96.6,0.8176,52.4,48,20,15.5,23.7,27.2,30.1,30.1,52.2,48.5,35.1,31.2,65.1,-1.2
51,Washington St.,P12,33,17-16,111.6,97.9,0.8174,50.4,49.6,18.5,16.5,31.8,25.9,28.2,28.5,46.6,50.4,36.9,31.9,64.2,-2.9
52,Ohio St.,B10,35,16-19,115.5,101.4,0.8167,52,48.9,16.1,15.9,31.5,28.6,26.6,28.1,50.6,49.3,36.8,32.1,66.1,-3.1
53,Texas Tech,B12,32,16-16,111.2,98,0.8112,52.3,48.9,19.9,19.9,32.1,30.1,34.8,28.4,52.6,49.1,34.5,32.4,67.4,-2.1
